NameOfStation;Line;Year;Quarter;IncomingPassengers;OutgoingPassengers;global_id;NameOfStation_en;Line_en;Year_en;Quarter_en;IncomingPassengers_en;OutgoingPassengers_en;Unnamed: 13
Станция метрополитена;Линия;Год;Квартал;Входы пассажиров;Выходы пассажиров;global_id;NameOfStation_en;Line_en;Year_en;Quarter_en;IncomingPassengers_en;OutgoingPassengers_en;
Фили;Филёвская линия;2022;I квартал;1373173;1382882;2363398978;;;;;;;
Кутузовская;Филёвская линия;2022;I квартал;510249;540500;2363398979;;;;;;;
Студенческая;Филёвская линия;2022;I квартал;498056;512054;2363398980;;;;;;;
Арбатская;Филёвская линия;2022;I квартал;451011;434456;2363398983;;;;;;;
Александровский сад;Филёвская линия;2022;I квартал;1177451;1181999;2363398984;;;;;;;
Международная;Филёвская линия;2022;I квартал;522032;536659;2363398985;;;;;;;
Выставочная;Филёвская линия;2022;I квартал;1302699;1299946;2363398986;;;;;;;
Кунцевская;Арбатско-Покровская линия;2022;I квартал;966173;988176;2363417021;;;;;;;
Парк Победы;Арбатско-Покровская линия;2022;I квартал;1204485;1182816;2363417313;;;;;;;
Смоленская;Арбатско-Покровская линия;2022;I квартал;1945687;2030140;2363419180;;;;;;;
Арбатская;Арбатско-Покровская линия;2022;I квартал;2126816;2215797;2363419309;;;;;;;
Курская;Арбатско-Покровская линия;2022;I квартал;1626601;1652367;2363419465;;;;;;;
Савёловская;Большая кольцевая линия;2022;I квартал;958403;971995;2363419559;;;;;;;
Петровский парк;Большая кольцевая линия;2022;I квартал;874975;901339;2363420043;;;;;;;
Шелепиха;Большая кольцевая линия;2022;I квартал;866326;889055;2363420407;;;;;;;
Деловой центр;Большая кольцевая линия;2022;I квартал;1341704;1323981;2363420542;;;;;;;
Лефортово;Некрасовская линия;2022;I квартал;498260;500026;2363420711;;;;;;;
Электрозаводская;Некрасовская линия;2022;I квартал;666061;666987;2363420816;;;;;;;
Мичуринский проспект;Большая кольцевая линия;2022;I квартал;564377;563181;2363420999;;;;;;;
Авиамоторная;Калининская линия;2022;I квартал;3184038;3348633;2363422066;;;;;;;
Третьяковская;Калининская линия;2022;I квартал;2132766;2229014;2363422306;;;;;;;
Рижская;Калужско-Рижская линия;2022;I квартал;0;0;2363423819;;;;;;;
Проспект Мира;Калужско-Рижская линия;2022;I квартал;1965594;2051318;2363423945;;;;;;;
Третьяковская;Калужско-Рижская линия;2022;I квартал;0;0;2363424352;;;;;;;
Киевская;Кольцевая линия;2022;I квартал;2878326;2861688;2363424466;;;;;;;
Белорусская;Кольцевая линия;2022;I квартал;3601860;3412025;2363424682;;;;;;;
Комсомольская;Кольцевая линия;2022;I квартал;7000177;5856610;2363424810;;;;;;;
Таганская;Кольцевая линия;2022;I квартал;2017704;2087943;2363424989;;;;;;;
Павелецкая;Кольцевая линия;2022;I квартал;3324283;3454407;2363425349;;;;;;;
Октябрьская;Кольцевая линия;2022;I квартал;1816705;1894746;2363425430;;;;;;;
Парк культуры;Кольцевая линия;2022;I квартал;2638852;2755419;2363425626;;;;;;;
Тимирязевская;Московская монорельсовая транспортная система;2022;I квартал;48056;40889;2363425920;;;;;;;
Окружная;Московское центральное кольцо;2022;I квартал;1177873;1191045;2363426102;;;;;;;
Владыкино;Московское центральное кольцо;2022;I квартал;593456;779089;2363426402;;;;;;;
Ботанический сад;Московское центральное кольцо;2022;I квартал;825588;1012502;2363426484;;;;;;;
Бульвар Рокоссовского;Московское центральное кольцо;2022;I квартал;806580;844420;2363426609;;;;;;;
Шоссе Энтузиастов;Московское центральное кольцо;2022;I квартал;595744;669388;2363426705;;;;;;;
Нижегородская;Московское центральное кольцо;2022;I квартал;1532070;1637725;2363426813;;;;;;;
Дубровка;Московское центральное кольцо;2022;I квартал;729979;778399;2363426933;;;;;;;
Автозаводская;Московское центральное кольцо;2022;I квартал;443010;494159;2363429683;;;;;;;
Кутузовская;Московское центральное кольцо;2022;I квартал;1311755;1432568;2363487156;;;;;;;
Деловой центр;Московское центральное кольцо;2022;I квартал;1153260;1229402;2363487167;;;;;;;
Петровско-Разумовская;Серпуховско-Тимирязевская линия;2022;I квартал;0;0;2363487177;;;;;;;
Сокольники;Сокольническая линия;2022;I квартал;2096694;2133509;2363487202;;;;;;;
Проспект Вернадского;Сокольническая линия;2022;I квартал;2062912;2078946;2363487279;;;;;;;
Китай-город;Таганско-Краснопресненская линия;2022;I квартал;0;0;2363487484;;;;;;;
Киевская;Филёвская линия;2022;I квартал;0;0;2363487549;;;;;;;
Улица Милашенкова;Московская монорельсовая транспортная система;2021;IV квартал;17991;17295;2363643842;;;;;;;
Кунцевская;Филёвская линия;2022;I квартал;543507;529972;2363644363;;;;;;;
Смоленская;Филёвская линия;2022;I квартал;726197;742423;2363644369;;;;;;;
